id,Axis.1,Axis.2,Axis.3,Axis.4,Axis.5,Axis.6,Axis.7,Axis.8,Axis.9,Axis.10,Axis.11,Axis.12,Axis.13,Axis.14,Axis.15,Axis.16,Axis.17,Axis.18,Axis.19,Axis.20,Axis.21,Axis.22,Axis.23,Axis.24,Axis.25,Axis.26
I4I,-0.600262169,-0.103515155,0.154626967,-0.030262679,-0.034386751,0.048585785,0.066211201,0.017681536,0.001311259,-0.010489187,-0.006009571,0.001686844,-0.012432092,-0.004116316,-0.001590825,-0.007872946,-0.013301912,-0.006132063,0.001213929,-0.000997744,0.00337828,0.003132153,-0.000232683,0.007875215,-0.000288,0.000993082
O2A,0.022535363,-0.156347587,-0.095817022,-0.057341598,0.036020726,0.049001166,-0.096326158,0.079745341,0.054804245,-0.025590382,-0.016933247,0.030125669,-0.0172387,-0.000412349,0.002002229,1.52E-05,-0.00119796,-0.000488387,0.00371953,-0.000329156,0.000854739,-0.000664168,0.000399675,-0.000212167,-0.000198388,-2.77E-05
O2B,-0.359342654,-0.143583249,0.180992264,0.117539106,-0.040614026,-0.051642163,-0.052224958,0.014917722,-0.044243009,-0.038498954,-0.041027489,0.006988318,0.00828003,0.009938877,0.033271735,0.007708951,-0.001518024,-0.000988394,-0.003928474,0.000689009,-0.000720731,0.000492086,3.42E-05,0.000217007,2.41E-05,-0.000138719
O2C,0.383192166,-0.010131755,-0.021543392,-0.039020511,-0.042446541,0.009445265,-0.000909337,0.008224504,-0.00848524,-0.01838922,0.012407171,-0.01598759,-0.003524302,0.024706801,-0.007587571,-0.011368523,0.005977359,-0.001140998,-0.012828614,0.012749049,0.007549459,-0.002185169,0.003377875,0.000193864,-0.001431012,-0.000333484
O2D,0.383518507,-0.007815625,-0.008977515,-0.010267008,-0.014407217,0.021236171,-0.009107872,0.018345528,0.005910426,-0.01308234,0.029234414,0.041472285,-0.0052169,-0.005046649,0.008781784,-0.003426519,0.006979948,-0.00583946,0.0008275,-0.002337332,0.001813355,0.002557872,-0.007864849,0.000609922,-0.003695855,-0.001593789
O2E,-0.487945461,-0.034042298,0.097823543,-0.358155201,0.290130205,0.044395683,-0.08127605,-0.079221064,0.009432871,-0.009247986,0.007416352,-0.00438117,0.011080388,0.002568937,0.008733507,0.000672074,0.000208132,0.001121604,-0.00082412,0.001541623,-0.000467877,-0.000281747,5.04E-05,-0.000289528,8.75E-06,-4.56E-05
O2F,0.372749968,0.014458245,0.066123867,0.104997047,0.086581985,0.011981872,-0.005143832,-0.026436394,-0.02852523,0.014764109,0.028629159,-0.001010809,-0.019212088,0.005823793,-0.014927208,0.004213737,-0.000509817,-0.001367226,-0.011344237,-0.009780302,0.003129063,0.000765076,-0.001873252,-0.000485799,0.001378115,0.000495416
O2G,0.381865549,0.003639798,0.03317219,0.042221863,0.042631272,-0.020322171,0.003140122,0.018299918,0.031202551,-0.017920236,0.004115431,-0.020345269,-0.00301916,-0.012534789,0.002998841,-2.01E-05,3.47E-05,0.006788161,-0.00036563,-0.003485324,-0.001172603,0.004244906,0.004412155,0.004599296,0.002502555,0.000363163
O2H,0.349389592,-0.021919532,-0.026880161,-0.027950942,-0.006120045,0.038061272,0.017602935,0.031722646,-0.007771185,0.042909176,0.005950086,0.036542197,-0.002335486,-0.012034894,0.02343236,-0.01392027,-0.004601914,0.03153363,-2.37E-05,-0.001014689,-0.006692258,0.000796674,0.00192688,0.000954672,-0.000819166,-0.000417733
O2I,-0.516761787,-0.134695162,0.186064261,-0.012750426,-0.060557122,-0.121784925,0.069197996,-0.025373814,-0.012003968,0.042575622,0.030647001,0.00423795,0.030596551,-0.001135873,-0.006345729,-0.005282906,0.00696654,0.001559118,0.005322775,0.000259353,0.002084119,0.000272179,0.000239688,0.000512149,1.07E-05,0.000172703
